country,CasesMedian,CasesMin,CasesMax,DeathsMedian,DeathsMin,DeathsMax,DALYsMedian,DALYsMin,DALYsMax
Afghanistan,1990667.748,286125.6765,3786419.197,"8,705",378,"185,029",456358.1253,22888.84659,9714850.85
Angola,148623.2685,49.75347265,685188.5311,551,0,"26,424",22531.66746,7.147948982,1012556.464
Armenia,2051.365856,183.0538797,3969.397884,9,0,204,518.5396486,19.69435243,10864.67504
Azerbaijan,17616.19639,1243.189284,36416.78449,78,2,"1,443",4132.324802,133.8271302,73957.42981
Bangladesh,12008026.38,7585952.133,17166666.7,"26,329",289,"1,128,167",1680851.753,75695.57772,67888922.5
Benin,154274.9746,306.5306883,1223838.089,633,1,"31,851",33694.95382,62.08306401,1552457.159
Bhutan,17679.35479,7201.636015,28056.6928,88,4,"1,669",4950.038381,314.6786046,95975.77749
Bolivia,20167.0121,977.7489622,85978.43545,88,2,"2,920",4828.720173,115.687746,146133.7336
Burkina Faso,22550.95407,993.6894567,112305.0003,101,2,"3,163",5070.615174,104.1772769,154386.4313
Burundi,293657.2626,41462.38012,628992.1126,"1,262",45,"29,010",61321.65759,2903.625681,1361756.888
Cambodia,570078.6361,197777.3373,947884.7232,"2,939",140,"52,761",168420.3308,10390.75488,2939359.858
Cameroon,156185.9054,36.01188468,583611.1581,481,0,"23,330",23774.25408,5.041239916,1059023.531
Central African Republic,33273.17955,101.6936846,261090.26,145,0,"6,819",6129.865016,14.13558057,269044.2559
Chad,52410.11299,13118.64196,150163.262,269,10,"5,438",11432.39602,548.2163309,220074.068
Comoros,1362.465394,881.0560553,1968.719665,7,0,129,375.9342412,25.72139313,6377.386323
Congo Rep,13391.77963,42.87632154,110877.05,58,0,"2,113",3057.551552,10.44898128,110412.3065
Cote dIvoire,195456.5595,63.81540656,1181899.701,643,0,"23,320",30041.72925,7.67853547,989705.8936
Cuba,1753.550017,97.3681626,8345.715536,8,0,238,454.0130253,10.23003785,13488.58184
Dem Republic of Congo,2640459.726,442105.0778,5473681.448,"12,115",463,"233,311",575940.1533,25956.95378,10918382.74
Djibouti,1880.124488,1207.466111,2772.236929,10,1,173,545.3747124,36.16020414,9024.431375
DPR Korea,123813.6253,9616.375329,500929.5207,575,14,"15,762",32267.34437,1017.418199,848808.6922
Eritrea,42657.15378,16745.85671,81023.63764,215,9,"4,015",11414.04025,707.4048461,210709.9797
Ethiopia,880688.8125,314048.3717,1752897.647,"11,487",425,"168,991",643991.9986,25865.59625,9497736.474
Gambia,9481.972397,4.256818299,38663.01676,35,0,"1,266",1775.502256,0.985671839,63326.1565
Georgia,2244.939197,225.5879798,4265.809022,10,0,200,531.5595583,18.95633636,10574.39824
Ghana,14083.71388,591.1995165,74489.56765,62,1,"1,946",3140.627388,64.56044236,92497.07795
Guinea,78357.78115,385.8425837,516530.4859,308,1,"11,072",15563.96014,72.05103396,554686.6089
Guinea Bissau,3831.611012,16.49333459,30896.56325,16,0,744,721.0155739,2.58453007,30850.00776
Guyana,577.8291243,31.65301646,2583.718534,3,0,86,137.7526572,2.923677866,4101.355521
Haiti,12067.79314,1018.975414,54959.74854,55,2,"1,468",2548.909237,85.64880379,61508.22117
Honduras,5528.811908,529.8409723,24787.29389,27,1,681,1590.351992,43.94731096,41679.44846
India,36717181.81,11362519.99,63050413.21,"359,223","60,104","1,679,774",20440925.63,3534577.041,93344579.84
Indonesia,35981.85913,1413.35953,248824.3598,74,2,972,4502.223185,124.2698499,57153.96568
Kenya,207204.3175,110823.6417,335589.5682,"1,719",103,"22,505",87167.04534,6090.243151,1138129.492
Kiribati,1832.679719,123.899195,5459.763524,8,0,183,468.4668476,11.47761118,11013.45871
Kyrgyz Republic,5616.977771,372.1789451,11401.48242,24,1,558,1351.060597,43.95716422,31081.94198
Lao PDR,191377.8945,9577.180344,482542.2248,247,4,"9,343",14993.673,457.0709302,519540.3826
Lesotho,355.6753035,8.40866909,2490.36398,2,0,59,66.55687245,0.741283144,2132.551951
Liberia,85386.46212,19.88147117,554442.7818,344,0,"14,834",16742.63663,3.191133219,712940.5671
Madagascar,438520.9957,84849.63519,900259.188,"2,023",74,"39,844",110952.934,4982.453745,2132523.889
Malawi,18749.39782,641.9684961,94915.20942,87,1,"2,479",4569.946071,74.15649551,124612.6978
Mali,36746.5966,10843.17895,88490.50859,190,8,"3,558",9158.230358,521.1824823,172536.6171
Mauritania,5640.938106,1758.095233,13318.91193,29,1,543,1573.771537,102.5745486,27729.14016
Moldova,1151.132789,67.07283267,2209.385432,5,0,102,266.2818127,6.946434006,5582.156955
Mongolia,46655.82688,2902.206938,99755.1026,201,4,"4,955",10326.77475,261.3402139,259922.95
Mozambique,53989.2578,1468.798894,259858.4189,256,2,"7,326",11716.2122,151.0493825,315937.7187
Myanmar,657417.7092,42268.55579,1433731.985,"2,851",71,"59,604",156707.5778,4435.116907,3121271.467
Nepal,656820.4048,275366.6529,1094722.058,"3,269",161,"53,666",195015.8561,11653.21029,3207093.805
Nicaragua,4760.623957,349.6555399,21073.75718,21,0,559,1259.645924,31.812365,31918.61111
Niger,98983.44648,152.7382355,605594.068,351,1,"16,792",19314.76675,31.22064927,914336.875
Nigeria,1302058.328,1.291941688,11197328.88,"16,887",0,"846,078",668455.6008,0.867179034,31981738.67
Pakistan,2681279.102,773973.0609,5125312.065,"5,477",420,"52,132",322494.3778,33108.08668,2983519.374
Papua New Guinea,640534.177,34505.73953,1483533.156,"2,788",60,"63,711",152957.8888,4247.868318,3505284.825
Republic of Sudan,151417.1149,52905.58028,295645.5943,760,34,"14,427",41941.7119,2306.10104,787902.2184
Rwanda,65599.91387,28818.68334,120892.2406,347,16,"6,499",18158.83867,1118.133033,316355.4385
Sao Tome e Principe,214.0484464,0.759062384,1481.511792,1,0,34,50.6086245,0.14453452,1873.316769
Senegal,69674.11166,12.73930238,262202.0288,184,0,"5,452",10253.35526,1.610712024,281299.3782
Sierra Leone,94675.90848,22.0599761,539844.2894,368,0,"17,867",15531.24134,3.866821045,702678.3268
Solomon Islands,19784.4224,1203.269603,67627.84118,92,2,"2,218",5475.445082,139.6083337,130988.9427
Somalia,101849.3403,53718.44359,178656.8935,525,26,"10,160",21782.99542,1615.216248,410012.1147
South Sudan,61522.1945,35024.30427,99941.43308,332,18,"5,546",14688.49385,1036.694605,236910.6114
Sri Lanka,162926.4574,36650.02818,289863.8692,774,28,"14,194",46228.11432,2247.081508,858870.6714
Tajikistan,9396.931898,881.9983647,20479.21059,41,1,810,2263.407327,86.43831713,45984.20202
Tanzania,329205.1296,1788.923091,2061692.67,"1,424",6,"57,033",80548.96945,312.3834266,3117456.893
Timor Leste,20213.72157,1429.046053,44179.08799,82,2,"1,941",5062.975699,166.7998027,118522.5745
Togo,43773.70402,12.0038401,170676.1828,166,0,"6,241",8419.459463,2.280339609,314520.5506
Uganda,123042.371,81345.63222,181247.8392,662,36,"10,504",32524.43986,2246.053568,519122.1356
Ukraine,14755.65655,1147.280019,28132.93158,62,2,"1,340",3309.380317,112.3312525,69896.24184
Uzbekistan,27056.02615,2064.068319,56566.64844,117,3,"2,680",5855.461789,189.142796,141130.8428
Vietnam,469731.9503,30449.00014,1204164.259,"8,768",288,"92,223",521682.1571,17115.67585,5370626.048
Yemen,387335.0963,34317.71135,1042852.052,"1,765",65,"42,211",101621.1316,4330.559337,2435433.033
Zambia,31015.5603,1156.759052,176062.783,141,2,"4,417",7188.065783,122.3931703,208824.1837
Zimbabwe,14802.73032,332.586563,104219.6217,101,1,"3,641",4662.443926,75.96375765,162235.9002
