country,CasesMedian,CasesMin,CasesMax,DeathsMedian,DeathsMin,DeathsMax,DALYsMedian,DALYsMin,DALYsMax
Afghanistan,75320.92,12024.27163,212676.8206,348,11,"8,681",18174.84186,755.0825901,471486.4482
Angola,103462.59,0,799337.3146,313,0,"24,979",13469.62379,0,980127.4959
Armenia,776.07,49.14542479,2895.962522,3,0,91,198.4347789,5.742374134,5126.048538
Azerbaijan,6784.28,376.920821,26336.14643,29,1,822,1552.499964,51.64460132,43015.26532
Bangladesh,4185161.41,2692025.455,5976141.302,"9,326",171,"443,155",603358.122,28206.64277,27051448.95
Benin,360759.84,13428.07972,1508014.465,"1,633",23,"42,615",87311.98215,1705.656927,2136682.775
Bhutan,696.01,225.4790477,1713.525155,3,0,77,199.5387926,12.94881685,4365.189673
Bolivia,5660.54,140.4970612,38159.25865,27,0,813,1504.756247,19.06944606,44766.74575
Burkina Faso,21878.07,959.8728533,111853.3133,101,2,"2,951",4985.6216,90.55349459,137774.0793
Burundi,702509.76,101423.6822,1584143.644,"3,216",118,"65,960",155419.884,7396.03013,3084182.216
Cambodia,495012.36,222203.9529,840730.6711,"2,460",124,"47,343",141739.8955,8939.699855,2668781.011
Cameroon,98348.00,0,640473.6172,287,0,"24,578",14998.82149,0,1120389.936
Central African Republic,73427.81,3656.190172,301571.6293,338,5,"10,063",14109.78142,342.1009536,403664.3729
Chad,71569.80,10961.50426,249984.7696,353,12,"8,056",15387.87356,646.1312081,333346.8371
Comoros,3394.95,1998.667468,5150.202327,18,1,326,916.1122324,66.31851795,16376.12983
Congo Rep,32295.55,1779.162974,129111.5165,146,3,"3,586",7593.590897,192.5705114,177975.1046
Cote dIvoire,118663.00,0,1333704.403,303,0,"32,123",15133.67152,0,1356320.277
Cuba,512.16,19.22663111,3818.847933,2,0,94,137.5010283,2.467723456,5638.888441
Dem Republic of Congo,2611822.82,428370.4922,5315198.682,"11,313",417,"286,077",533126.8752,26881.30514,13451749.51
Djibouti,4710.97,2737.16711,6944.106384,24,1,443,1282.923018,91.34978347,23478.67009
DPR Korea,14723.68,482.066924,113959.1203,71,1,"2,615",4043.072315,47.306739,146256.3019
Eritrea,103653.88,39116.95444,200470.1644,512,26,"9,910",27359.67402,1812.400864,521066.8112
Ethiopia,2117258.12,735063.0163,4264761.997,"28,526","1,368","398,543",1573303.734,84047.72781,21622938.55
Gambia,7107.23,0,42637.20409,18,0,"1,622",968.784085,0,78744.7124
Georgia,860.95,56.77280211,3098.801483,4,0,117,215.9352479,5.495432843,6199.20351
Ghana,393260.95,273250.8932,516792.8238,"1,995",114,"37,091",101100.9864,7592.769654,1859336.23
Guinea,177796.35,9302.450166,611725.0763,783,17,"21,180",38708.51115,977.3891054,994643.7967
Guinea Bissau,9285.98,541.789406,36805.5442,41,1,"1,100",1863.290779,53.55770348,49807.36736
Guyana,166.94,5.130358182,1212.313184,1,0,28,40.77515669,0.689105826,1336.3772
Haiti,3462.89,119.4488336,24862.86428,16,0,510,696.5544249,11.79055041,23880.39617
Honduras,1590.40,68.33356544,10795.7928,8,0,284,463.5415453,8.057096432,16381.98728
India,900422.96,230415.2943,2588842.836,"9,432","1,368","57,853",527952.0679,76056.22127,3305002.807
Indonesia,68583.00,2635.468627,479230.9202,148,4,"1,955",8904.978537,266.1881233,115897.0334
Kenya,763657.97,606605.7479,927293.9118,"6,266",403,"86,884",315317.8073,24271.57402,4218907.141
Kiribati,1213.59,13.19814455,5262.998368,5,0,182,287.4128396,1.8695175,10021.14988
Kyrgyz Republic,2151.72,103.4676345,8098.85522,10,0,243,553.1561099,14.03610404,12824.09018
Lao PDR,127171.91,1016.598121,452297.035,148,1,"5,875",9600.547442,48.21346062,325335.8122
Lesotho,1887.47,255.2051247,6582.057685,9,0,220,375.7972048,14.75502928,8469.993499
Liberia,53911.81,0,639375.8507,142,0,"19,784",7164.015563,0,937554.7272
Madagascar,1054181.66,206523.9017,2244799.522,"4,763",160,"102,013",259859.0123,11924.58932,5606310.962
Malawi,96655.15,19390.50684,230060.8004,465,20,"10,777",24486.42427,1326.908198,561829.0668
Mali,47304.66,8655.363659,147099.5945,232,8,"5,389",11324.65707,498.5299959,264313.6499
Mauritania,7418.42,1581.831647,22776.58547,38,1,803,1999.596767,100.0637523,41448.12722
Moldova,430.55,20.42598793,1639.015825,2,0,53,106.4874267,1.945196399,2882.470609
Mongolia,17835.67,704.5484874,72739.51434,79,1,"2,285",4050.711473,80.5604038,117819.5694
Mozambique,281019.85,50522.81386,609300.0427,"1,305",52,"25,916",59816.12201,3191.787976,1172766.111
Myanmar,446798.33,4479.132145,1375896.544,"1,767",10,"53,567",95054.48388,784.2335328,2671749.976
Nepal,9931.32,2588.164552,29284.81423,50,2,"1,177",3011.623211,158.4413376,68548.86703
Nicaragua,1393.98,48.26172027,9606.83752,6,0,258,357.1685682,5.483896386,15057.84224
Niger,212199.65,10592.54075,710356.027,954,17,"24,368",50015.67384,1013.583839,1282485.07
Nigeria,8335700.70,4211981.342,13025715.26,"153,229","11,219","1,549,040",6010798.444,462213.5806,61352590.06
Pakistan,2081724.95,1151414.908,3315534.33,"4,368",408,"40,463",260187.7521,33847.12665,2260909.367
Papua New Guinea,433798.69,3985.560177,1474373.498,"1,808",13,"51,621",100775.144,769.9363461,2798278.8
Republic of Sudan,364122.22,125247.9048,737228.8464,"1,756",82,"37,262",97804.66181,5676.072422,2013171.083
Rwanda,161027.17,66151.85289,300839.794,801,41,"15,467",42788.36362,2794.573477,825105.1685
Sao Tome e Principe,512.84,26.22478723,1761.126932,2,0,63,128.1951633,2.823273753,3308.516413
Senegal,31729.53,0,298476.5477,91,0,"5,710",5261.958451,0,305533.8195
Sierra Leone,60520.48,0,599620.5655,190,0,"17,704",8402.542145,0,727422.7138
Solomon Islands,11948.60,136.8762975,65343.488,50,0,"1,807",3054.280152,28.94605061,111407.1605
Somalia,245080.48,123276.7491,448979.4864,"1,221",68,"22,408",51713.10805,3789.256746,919296.709
South Sudan,151439.46,80966.41865,256748.4947,794,38,"14,001",35928.20914,2394.050486,631486.3687
Sri Lanka,6511.05,1334.112952,17756.54616,31,1,673,1889.287549,88.69436636,39213.47104
Tajikistan,10496.82,953.1698637,22894.78645,46,1,"1,089",2542.351974,90.37285909,56363.67775
Tanzania,793518.59,300217.7654,1540667.027,"3,918",190,"79,818",214273.9337,15079.60833,4314113.445
Timor Leste,13184.19,119.544968,42497.33726,53,0,"1,689",3302.371555,17.5262378,102401.6584
Togo,26768.50,0,186395.969,85,0,"7,649",4487.152616,0,390857.1456
Uganda,308411.96,183019.8961,452533.6622,"1,580",85,"26,826",77277.86251,5441.177979,1289218.491
Ukraine,5691.12,356.1339627,21170.43807,25,1,683,1336.115088,33.45888062,37164.58313
Uzbekistan,3926.64,302.0668326,10016.08532,17,0,386,890.5243059,29.33675778,18921.15124
Vietnam,306593.62,3948.939852,1106809.836,"5,394",60,"85,586",324012.2584,3381.465418,5053431.531
Yemen,494110.59,37175.42714,1719494.646,"2,252",45,"59,462",132283.8833,3748.957993,3178768.197
Zambia,160438.25,28822.38439,421143.2309,776,28,"16,566",38886.06121,1808.900134,776004.8259
Zimbabwe,81127.85,4908.139199,293310.821,580,15,"10,647",26688.07142,766.0201781,477057.2296
