country,CasesMedian,CasesMin,CasesMax,DeathsMedian,DeathsMin,DeathsMax,DALYsMedian,DALYsMin,DALYsMax
Afghanistan,2000917.952,297120.5618,3739548.545,"9,449",310,"155,836",497639.177,21935.97856,7835646.963
Angola,356285.9015,1346.315946,812318.6123,"1,349",4,"31,750",55965.95451,161.4390192,1275281.843
Armenia,2170.730807,190.8126259,4173.64468,10,0,203,556.1364171,17.11214308,11335.64555
Azerbaijan,18478.9247,1267.603197,37946.11037,82,2,"1,570",4421.511194,161.8585195,80254.77241
Bangladesh,12666493.44,8306895.659,17253681.29,"27,212",429,"1,300,403",1735194.086,79018.91829,77572571.67
Benin,545586.5634,57670.36078,1674656.308,"2,748",67,"61,258",142285.5189,4484.142105,3161133.926
Bhutan,17692.76382,7332.489997,28444.06402,91,4,"1,460",5058.832632,322.7450665,80538.32409
Bolivia,28227.18734,1652.979084,105991.6389,137,3,"2,749",7524.940538,203.0158822,150100.0038
Burkina Faso,54913.71099,7952.108122,170463.0625,286,8,"5,062",14132.2492,580.6047798,249030.3256
Burundi,846906.8989,119730.8228,1730604.481,"3,907",124,"71,112",186802.8557,8443.902883,3349875.168
Cambodia,713232.1386,458081.6859,1004271.132,"4,005",183,"57,263",229942.9989,14108.35853,3324659.88
Cameroon,409197.4547,2628.815734,650544.4003,"1,442",7,"32,952",69885.6746,393.6725831,1526422.721
Central African Republic,112472.4793,15250.20153,345103.5218,578,16,"11,752",23553.6274,917.0983065,459896.8248
Chad,125526.0644,38764.41386,325113.6903,686,26,"11,336",29244.15978,1507.234698,478928.0578
Comoros,3985.652869,2742.689517,5447.619958,23,1,314,1186.884973,74.48041475,16089.30708
Congo Rep,47730.70139,5279.628707,140719.7246,257,6,"4,649",13110.38009,477.446906,221906.7903
Cote dIvoire,523191.4278,2919.626034,1364615.021,"1,883",10,"36,983",84556.10228,483.3624636,1595247.161
Cuba,2480.222582,143.8452584,9622.686733,13,0,264,752.2486753,15.20418125,14797.66676
Dem Republic of Congo,4240867.176,719539.1739,8557555.08,"20,610",661,"366,665",993930.8828,43377.93177,16844421.01
Djibouti,5447.360068,3736.252231,7359.21155,31,1,424,1621.86908,106.5154538,21615.889
DPR Korea,149964.2757,13004.89033,536408.8022,746,18,"17,072",41743.54397,1272.051157,940946.0428
Eritrea,123762.4484,48655.695,223793.4503,673,28,"10,202",35972.52198,1884.681289,539690.5886
Ethiopia,2527903.656,926195.9361,4733341.553,"33,605","1,614","535,136",1887202.239,99211.64509,29127800.28
Gambia,24945.93482,70.83708128,43257.58573,95,0,"2,000",4783.273578,9.038884888,98889.64672
Georgia,2336.454949,240.6936433,4466.202888,11,0,205,578.2252123,24.19589876,10847.74368
Ghana,398308.3308,278850.8636,520780.9746,"2,286",101,"32,034",112332.0217,7349.083746,1592229.125
Guinea,262091.5705,36828.39124,693028.9887,"1,304",41,"27,470",64250.03646,2772.711967,1306459.855
Guinea Bissau,14464.76956,1422.939409,42788.66237,72,2,"1,386",3250.257231,108.4146483,60997.45912
Guyana,805.4406745,64.95400341,2959.626301,4,0,95,203.5639314,6.803700649,4684.035023
Haiti,17048.98368,1548.190153,64438.13533,83,2,"1,881",3780.820537,117.3452991,78629.04498
Honduras,7647.268598,892.5412288,29615.88382,38,1,867,2257.306725,88.77073712,50231.71617
India,36842929.21,11452525.09,63021743.72,"369,772","66,737","1,837,568",21195304.84,3728804.147,101807729.8
Indonesia,133594.1677,18755.75197,539656.1444,291,27,"2,409",17667.99613,1672.972112,143864.4128
Kenya,818282.4313,669720.4709,974752.8546,"6,892",391,"96,982",346187.7646,22776.03747,4887318.808
Kiribati,2655.2286,551.098182,6031.823056,14,0,239,792.8156054,34.32974646,13854.84102
Kyrgyz Republic,5948.831583,395.5475837,11993.40307,26,1,542,1490.562276,45.44952144,29640.54719
Lao PDR,271772.4033,53664.6137,529826.3582,415,10,"12,353",25007.47702,1248.542621,690981.659
Lesotho,2373.923126,309.2533803,6942.936233,11,0,231,449.9359635,19.44749316,9050.644648
Liberia,216601.7261,924.1483649,663752.3016,934,3,"19,562",45986.18856,167.0309518,920929.2889
