country,CasesAvertedMedian,CasesAvertedMin,CasesAvertedMax,DeathsAvertedMedian,DeathsAvertedMin,DeathsAvertedMax,DALYsAvertedMedian,DALYsAvertedMin,DALYsAvertedMax
Afghanistan,1301991.928,194510.846,2765539.88,"5,827",228,"122,226",312533.0135,15117.87941,6441036.925
Angola,100479.8346,32.39337207,498472.9271,382,0,"17,080",15814.7141,5.367025098,712799.7594
Armenia,1142.109426,102.7298019,2654.873554,5,0,112,311.3720212,11.22605481,6946.111104
Azerbaijan,11003.02999,760.8630479,26679.46585,48,1,920,2767.102344,86.0022855,51266.94302
Bangladesh,7900878.234,3902183.987,12793946.63,"17,256",213,"742,594",1139284.697,47775.2015,46942746.28
Benin,107159.5536,222.8691695,860548.1067,444,1,"20,170",24080.37885,40.27254663,1059472.995
Bhutan,10001.01453,3777.744996,19445.4943,49,2,865,2995.236117,178.9675046,51166.83853
Bolivia,12869.86606,663.9611033,63184.57542,58,1,"1,862",3305.578989,78.40224273,100903.4513
Burkina Faso,16763.56083,692.5421012,88134.82849,75,1,"2,551",3859.885076,77.35667478,120805.038
Burundi,213422.7154,30496.71632,483323.8153,928,34,"21,599",45665.46641,2092.259467,1076035.375
Cambodia,375176.9746,117082.0252,688174.8473,"1,970",84,"35,587",117737.4146,6941.80445,2012744.665
Cameroon,104430.8435,27.71941475,448502.8873,342,0,"16,312",17396.55297,3.674604308,792407.9992
Central African Republic,22115.88919,64.08333685,190843.0654,97,0,"4,845",4183.519365,9.932875721,199186.9748
Chad,36364.58117,8727.086192,113945.6023,186,7,"3,705",8079.309434,384.9001089,152494.3121
Comoros,1036.645892,592.8158756,1633.85606,5,0,95,290.3540294,19.54011127,4833.277081
Congo Rep,9864.567714,31.54197653,82818.15449,42,0,"1,785",2262.230019,7.569868443,90673.45663
Cote dIvoire,136766.1406,45.3413566,879956.7606,458,0,"17,352",21691.54435,5.587143164,763231.6828
Cuba,945.8232751,54.08788018,5050.865427,4,0,136,276.8585253,5.832013167,8473.771231
Dem Republic of Congo,1732525.709,291490.9752,4101847.491,"7,864",287,"163,090",397683.0933,17576.44629,7909039.825
Djibouti,1232.622344,598.192102,1960.637272,7,0,108,354.4832876,24.15124901,5760.812346
DPR Korea,75382.72502,5657.066295,318585.5297,354,8,"9,446",20693.64203,580.0492667,547222.5816
Eritrea,31202.80575,11566.45895,64200.4676,161,7,"2,985",8591.15923,494.9214244,160455.3178
Ethiopia,565694.314,187352.2135,1212430.564,"7,234",259,"114,540",409544.9104,17112.06652,6462720.691
Gambia,7050.199655,3.042137127,31600.77269,26,0,947,1355.798145,0.731916303,46993.90575
Georgia,1193.185454,123.6568572,2781.670137,5,0,117,321.6405529,11.71775406,6730.912838
Ghana,10676.50803,373.0111106,58028.44607,46,1,"1,485",2440.222237,50.65479861,72470.61017
Guinea,53560.13189,292.5090817,378231.4398,219,1,"8,531",11342.4134,44.79272017,423482.4303
Guinea Bissau,2919.60868,11.72918783,23513.68676,12,0,550,542.8892693,2.101297145,24016.69609
Guyana,338.7454451,20.58939351,1615.333441,2,0,45,85.25121829,1.625856237,2472.351987
Haiti,6854.849022,567.0539695,34235.05328,33,1,776,1568.848787,48.69493867,37516.64678
Honduras,3636.617897,319.8946262,16903.47068,18,0,469,1093.112708,26.93922234,28308.26234
India,21368671.55,6107710.906,40810052,"211,810","34,175","1,019,463",12416250.03,2030618.971,58516271.47
Indonesia,21079.61928,790.7721389,147747.7678,43,1,562,2622.952413,69.36673029,35385.53725
Kenya,151717.5622,71503.86183,265692.6663,"1,286",72,"17,167",65509.89144,4453.986183,877617.572
Kiribati,1200.578209,68.03745074,3891.563594,5,0,126,317.897437,7.7434243,7282.901104
