"country","Cases Averted (thousands)","Deaths Averted","YLLs Averted (thousands)","YLDs Averted (thousands)","DALYs Averted (thousands)","Percent DALYs Averted","Averted Treatment Costs (thousands)","Cost of Routine Vaccination (thousand)","Cost of Campaign Vaccination (thousand)","Cost of Vaccination (thousand)","Net Costs (thousands)","Percent Cases & Deaths & Treatment Costs Averted"
"Afghanistan","1312091.52601356 (197234.911902172-2756778.71793879)","6,269 (212-106,443)","328064.318264492 (11167.8206084332-5567040.90676712)","6820.44482668901 (764.287983704893-36709.0133811572)","338413.757805122 (14933.2919036186-5597617.96826711)","72 (39-86)","4370013.56290496 (380979.586436129-32561476.5189271)","17243737.9722033 (7129200.82177945-40257527.9742706)","2242168.9570434 (2085412.63093993-2407497.09140287)","19506856.2072509 (9391308.27409086-42575100.1341418)","14035183.534074 (-10963716.889178-38216532.7356852)","70 (38-85)"
"Angola","239539.25788569 (946.212342765956-617866.235334889)","959 (3-21,615)","37704.5729569563 (98.0553140815522-917139.280175778)","1188.04521479865 (4.34981728138929-7387.7381138858)","40102.8857605714 (116.951128689721-920454.398092868)","73 (46-86)","4884374.28867907 (19525.0703263556-46167065.7328103)","18439596.8225425 (13112292.4621279-30225197.3699757)","16258526.7317068 (15044072.2250837-18010149.6798683)","34748941.4254038 (29213659.7860906-46857271.0100983)","29583061.0633782 (-11027328.4153546-43266273.4406337)","71 (44-86)"
"Armenia","1187.99666782212 (106.649221588073-2816.38794099266)","5 (0-113)","330.258235142603 (7.92542361576456-7081.24238225839)","6.16538598507428 (0.436346870193525-36.5867590049087)","341.413506315746 (9.74243208913526-7093.38579533272)","63 (38-81)","21993.5510212554 (1534.31954593894-197866.468202689)","2288570.10068711 (1295202.33187008-4489266.51633767)","963744.872891661 (892780.691606455-1066915.06955848)","3238794.55202991 (2252571.76770299-5525044.71504796)","3211080.24569228 (2216922.44023458-5512236.70176026)","59 (34-79)"
"Azerbaijan","11453.9619476243 (803.35174617389-27508.750198271)","53 (1-1,020)","2896.88893770184 (81.4201414808813-55841.1627491305)","61.5092428909551 (3.45618677452206-353.923130694751)","2973.04603329042 (104.265209209989-55966.7055993308)","69 (45-86)","168280.416529714 (11206.5279260907-1681481.22206931)","11184554.2803084 (6329369.19045526-21931290.6183211)","4648305.135594 (4302849.38482692-5146353.5995122)","15766858.558031 (10949391.9859131-26938009.6674526)","15534620.678066 (10601358.9071874-26303555.601453)","65 (42-84)"
"Bangladesh","8344789.61107212 (4207666.86938999-13218705.1833038)","18,045 (263-920,055)","1114144.48287725 (15757.8089803592-55347770.8936379)","49895.5179867614 (10145.3514543707-195832.213026637)","1207994.31352865 (55725.5462148617-55407940.0912834)","71 (40-85)","38360814.171523 (6773146.27172422-346621921.964584)","82298621.0215719 (52951388.7036858-150827333.53095)","8170582.33220463 (7579247.26019973-10831521.0782524)","90485579.0869138 (61229037.2592611-159649103.067958)","50480184.1268285 (-243495410.409864-129917190.251242)","69 (38-85)"
"Benin","375374.071440213 (37059.3684231033-1231374.84731923)","1,881 (48-40,753)","98513.4121660136 (2466.37792551412-2195118.13008468)","2110.22702783515 (142.589197075161-13735.9190191229)","101495.764653436 (3031.06920536092-2202400.69454807)","74 (41-88)","2223831.70398676 (160219.40898284-19004563.9898249)","6372544.07366643 (4117150.94525391-9858215.28766238)","749856.10056372 (696900.357870849-808140.58376943)","7118237.08931061 (4884744.52151873-10614776.9395603)","4659884.68342435 (-11882004.8032657-9293786.52002183)","73 (39-87)"
"Bhutan","10001.0116848493 (3579.9906218194-19508.8538006552)","53 (2-777)","3086.97727737264 (122.462654650427-45448.2091751232)","55.3255819497352 (10.3642484660085-262.451401772844)","3152.70623159949 (179.410096667704-45646.458652114)","64 (34-80)","138108.356263098 (23655.9792903576-1034474.22619662)","384000.229634106 (281852.233812568-609147.42614958)","247277.719938044 (228953.19004511-273797.890433845)","632177.380594214 (527794.519385265-864545.797677472)","485017.635756461 (-405980.020925093-746640.892060449)","61 (31-79)"
"Bolivia","17974.6789250255 (1103.10174625509-71660.6833320613)","90 (2-1,831)","4968.98713360372 (96.6725432578087-98226.7517570095)","101.4610215797 (4.40697753391213-761.159471660167)","5146.19768809066 (134.843051706772-98607.4200877985)","71 (44-86)","223428.553319978 (11366.4128591003-2559925.0749765)","9222604.99412995 (6234112.3652711-15831234.9664471)","5106409.41454337 (4726735.334788-5659406.92308542)","14319917.6942475 (11305553.1801408-21215961.9041429)","13922539.5994505 (10553573.6924464-20590704.0089946)","68 (42-85)"
"Burkina Faso","41129.9480169773 (5836.65456098836-138347.219840544)","212 (6-3,863)","10315.0280008991 (298.629494102817-191799.072961182)","229.085288994601 (25.3934295519371-1539.38129896608)","10652.0697166846 (413.507158557507-192376.782488731)","79 (51-91)","220497.363201912 (19318.826207149-1833843.9701437)","10298704.4841564 (4719798.55060533-23328070.0684853)","1257643.20683507 (1162907.85493787-1835412.99843022)","11609393.3690916 (6045441.62942875-24726104.5338963)","11306296.1886172 (5434403.19723664-24449512.6996836)","78 (48-91)"
"Burundi","615443.715881669 (88973.8851966072-1350216.31181855)","2,778 (85-55,212)","134269.776532258 (4312.74106130452-2574790.75180966)","3132.76034634772 (362.954698717358-17251.8752726219)","139187.422411441 (6221.79904985409-2583706.20544975)","78 (46-90)","1875509.30252693 (163168.146212287-13848981.44302)","6344517.65336966 (2900292.60736942-14388550.6901507)","770507.143463718 (716158.465815321-830594.176245959)","7129883.67352721 (3684528.70063487-15184656.2085052)","4785282.96003079 (-6884776.59272436-13206202.3868694)","76 (43-90)"
"Cambodia","474640.153264698 (244396.581821513-747696.378384532)","2,599 (117-39,331)","151595.012483327 (6905.93346212325-2330194.40340142)","2754.35212254221 (633.262427371801-11062.2924846448)","156113.133153786 (9422.46287476988-2333470.99385208)","71 (42-85)","3102793.82240161 (630620.971743466-18833575.0378949)","4875431.89135415 (3575595.90479072-8184287.086282)","790998.858830576 (733787.558039609-1048548.58928005)","5678501.69679983 (4360768.39548139-9030009.75798554)","2739715.84666266 (-12911873.4264295-6721704.48328835)","69 (40-84)"
