country,CasesAvertedMedian,CasesAvertedMin,CasesAvertedMax,DeathsAvertedMedian,DeathsAvertedMin,DeathsAvertedMax,DALYsAvertedMedian,DALYsAvertedMin,DALYsAvertedMax
Afghanistan,1353106.873,194276.6857,2982003.565,"5,905",195,"125,397",316399.2932,14703.25005,6642158.346
Angola,324140.919,144711.2819,632965.9214,"1,410",60,"25,476",58949.75119,3863.797494,1067524.541
Armenia,1056.109326,93.72280158,2714.008514,5,0,102,306.5604483,10.85233612,6180.851258
Azerbaijan,10410.6716,713.3509798,27275.00432,46,1,"1,040",2641.09563,82.55332006,59558.0172
Bangladesh,8508326.773,4066395.635,13489456.74,"20,014",298,"1,042,990",1297987.385,54803.80846,65019583.49
Benin,750550.1632,156298.9646,1638975.342,"2,836",100,"53,338",153645.5848,7576.890496,2866031.721
Bhutan,10566.14006,3732.734279,20628.80288,49,2,865,3047.466233,184.0259203,51930.81348
Bolivia,111933.6147,8393.280779,279232.279,303,8,"6,223",17323.98001,656.3819638,355338.2582
Burkina Faso,692385.6452,360013.6943,950654.7042,"1,937",115,"30,935",96484.12993,7420.943355,1561372.947
Burundi,856950.457,124547.0574,1841603.033,"3,192",107,"66,589",161373.2191,7747.113644,3183977.229
Cambodia,479476.6385,236790.7933,748282.9561,"2,431",122,"40,816",144872.9366,9369.234498,2315676.914
Cameroon,381097.6289,184165.1618,528538.1643,"1,566",83,"25,117",76517.84281,5382.634558,1205000.719
Central African Republic,149477.3285,35270.83179,326730.0342,563,22,"10,636",23875.19089,1335.162052,445809.9437
Chad,529330.309,187762.3746,1014600.767,"1,607",80,"24,977",71662.85137,4540.625708,1133631.605
Comoros,4133.086827,2285.801248,5999.062876,19,1,309,986.0468139,64.4996077,16364.63023
Congo Rep,70777.52185,21138.73307,153692.0665,277,12,"5,399",14576.57914,847.7771388,277416.1835
Cote dIvoire,577135.1954,194299.2229,1101865.715,"2,042",115,"29,432",93344.35589,7015.242489,1274264.587
Cuba,7433.069106,554.8646835,20499.41656,20,1,433,1350.099786,42.91184348,27806.79294
Dem Republic of Congo,4208967.288,710533.6283,9668953.909,"16,724",616,"336,076",828610.1139,41594.16069,16205392.54
Djibouti,4845.804369,2337.920776,6860.990588,21,1,338,1175.949292,80.17835096,18207.86962
DPR Korea,318332.9675,26059.62285,789612.1589,932,29,"19,376",56316.2359,2206.520363,1139057.995
Eritrea,124333.8636,46213.21263,237186.0426,539,24,"9,475",29421.47266,1716.013763,508171.1488
Ethiopia,2113840.566,674225.0927,4218798.057,"24,050","1,271","441,246",1373354.736,78414.96316,25073111.54
Gambia,24293.27024,12753.10297,37503.67581,102,5,"1,836",5125.153855,343.1472026,93609.30975
Georgia,1071.530476,109.086602,2761.632341,5,0,115,307.3667549,10.86494399,7010.521488
Ghana,434139.0938,231413.6905,595341.8549,"1,891",94,"30,975",97832.84259,6732.272936,1572539.652
Guinea,339544.081,120028.9002,651104.6161,"1,304",63,"24,022",66161.71283,4225.507627,1181992.441
Guinea Bissau,20730.42865,4466.738012,44383.15307,76,3,"1,450",3508.577342,183.5151506,64642.80264
Guyana,2774.877258,256.4097132,6791.483707,8,0,164,442.6321249,11.8512,8829.300891
Haiti,54927.19039,5631.886678,148669.6115,151,5,"3,733",7397.595378,305.4692954,171416.7017
Honduras,30885.52719,4278.395209,71900.69618,86,3,"1,915",5323.297324,219.4259539,120848.9577
India,19502864.44,5409305.324,39629352.42,"207,446","34,255","1,105,217",12232311.64,1989224.691,65097258.44
Indonesia,2556376.411,921127.7605,4994277.678,"3,140",548,"14,319",195265.2913,36857.32812,881470.9751
Kenya,708738.0783,372754.0568,956843.6477,"5,098",307,"72,378",262628.7711,19345.73784,3689050.442
Kiribati,2371.868792,838.3364903,4812.757512,10,0,186,621.1731354,38.06956553,11293.86064
