Vaccine,Version,ISO3,Gavi73,Year,Delivery,IntroductionDate,GaviSupport,Population,FVP,FVPType,Coverage
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2016,Routine,2022,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2017,Routine,2022,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2018,Routine,2022,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2019,Routine,2022,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2020,Routine,2022,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2021,Routine,2022,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2022,Routine,2022,,1114620,757942, Direct ,0.68
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2023,Routine,2022,,1114896,769278, Direct ,0.69
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2024,Routine,2022,,1115067,780547, Direct ,0.7
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2025,Routine,2022,,1115995,792356, Direct ,0.71
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2026,Routine,2022,,1115415,803099, Direct ,0.72
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2027,Routine,2022,,1121408,818628, Direct ,0.73
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2028,Routine,2022,,1124537,832157, Direct ,0.74
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2029,Routine,2022,,1127253,845439, Direct ,0.75
TCV,TCV Scenarios demand_Unconstrained 16.08,AFG,TRUE,2030,Routine,2022,,1129089,858107, Direct ,0.76
TCV,TCV Scenarios demand_Unconstrained 16.08,AGO,TRUE,2016,Routine,2027,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AGO,TRUE,2017,Routine,2027,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AGO,TRUE,2018,Routine,2027,,   ,   ,  ,   
TCV,TCV Scenarios demand_Unconstrained 16.08,AGO,TRUE,2019,Routine,2027,,   ,   ,  ,   
